"Label","2D TWL selex","M104 base"
"N.Parms",1504,144
"TOTAL",3823.59,2588.53
"Survey",23.0632,22.5728
"Length_comp",527.401,570.961
"Age_comp",1972.09,1969.46
"Recruitment",24.9738,25.414
"Parm_priors",0.0586812,0.112207
"NatM_uniform_Fem_GP_1",0.171572,0.178691
"L_at_Amax_Fem_GP_1",48.0286,48.1569
"VonBert_K_Fem_GP_1",0.19482,0.193815
"CV_young_Fem_GP_1",0.10733,0.10945
"CV_old_Fem_GP_1",0.037602,0.0376607
"NatM_uniform_Mal_GP_1",0.263886,0.242353
"L_at_Amax_Mal_GP_1",-0.337782,-0.337475
"VonBert_K_Mal_GP_1",0.556321,0.548357
"CV_young_Mal_GP_1",0.213624,0.21223
"CV_old_Mal_GP_1",0.171457,0.150342
"SR_LN(R0)",10.0378,10.1544
"Q_extraSD_CalCOFI_Survey(11)",0.294112,0.291459
"Q_extraSD_RREAS_YOY_Survey(12)",1.25282,1.24502
"Size_DblN_peak_NoCA_HKL(1)",41.5821,41.2361
"Size_DblN_ascend_se_NoCA_HKL(1)",4.46358,4.42176
"Size_DblN_descend_se_NoCA_HKL(1)",5.76387,5.07918
"Size_DblN_peak_SoCA_HKL(2)",24.2181,24.2687
"Size_DblN_ascend_se_SoCA_HKL(2)",1.39392,1.42085
"Size_DblN_descend_se_SoCA_HKL(2)",5.77795,5.81227
"Size_inflection_CA_TWL(3)",31.7727,NA
"Size_95%width_CA_TWL(3)",6.31134,NA
"Size_DblN_peak_OR_WA_Comm(4)",41.7673,42.2613
"Size_DblN_ascend_se_OR_WA_Comm(4)",4.45891,4.50533
"Size_DblN_peak_CA_NET(5)",46.9676,45.8767
"Size_DblN_ascend_se_CA_NET(5)",4.40416,4.30617
"Size_DblN_descend_se_CA_NET(5)",5.10242,3.64955
"Size_DblN_peak_NoCA_OR_WA_Rec(6)",43.9261,43.5857
"Size_DblN_ascend_se_NoCA_OR_WA_Rec(6)",5.12259,5.09087
"Size_DblN_descend_se_NoCA_OR_WA_Rec(6)",4.62147,4.36152
"Size_DblN_peak_SoCA_Rec(7)",24.6116,24.6712
"Size_DblN_ascend_se_SoCA_Rec(7)",2.90809,2.91869
"Size_DblN_descend_se_SoCA_Rec(7)",3.36726,3.3356
"Size_DblN_end_logit_SoCA_Rec(7)",-1.11385,-1.07117
"Size_DblN_peak_TWL_discard(8)",29.5353,29.5827
"Size_DblN_ascend_se_TWL_discard(8)",4.19121,4.18418
"Size_DblN_descend_se_TWL_discard(8)",3.20799,3.19654
"Size_DblN_peak_NoCA_HKL(1)_BLK1repl_1875",50.9327,50.2064
"Size_DblN_ascend_se_NoCA_HKL(1)_BLK1repl_1875",4.08641,4.04676
"Size_DblN_peak_SoCA_HKL(2)_BLK2repl_1875",49.1393,47.4222
"Size_DblN_ascend_se_SoCA_HKL(2)_BLK2repl_1875",4.83297,4.71407
"Size_DblN_peak_SoCA_Rec(7)_BLK2repl_1875",30.7651,30.6221
"Size_DblN_ascend_se_SoCA_Rec(7)_BLK2repl_1875",3.76157,3.73562
"sigmasel_CA_TWL(3)_LEN(10)",1,NA
"CA_TWL_ARDEV_y1978_Lbin10",0.000962092,NA
"CA_TWL_ARDEV_y1978_Lbin11",0.000894925,NA
"CA_TWL_ARDEV_y1978_Lbin12",-0.00104145,NA
"CA_TWL_ARDEV_y1978_Lbin13",-0.00201723,NA
"CA_TWL_ARDEV_y1978_Lbin14",-0.00428868,NA
"CA_TWL_ARDEV_y1978_Lbin15",-0.00877973,NA
"CA_TWL_ARDEV_y1978_Lbin16",0.0664395,NA
"CA_TWL_ARDEV_y1978_Lbin17",0.141993,NA
"CA_TWL_ARDEV_y1978_Lbin18",-0.0339113,NA
"CA_TWL_ARDEV_y1978_Lbin19",-0.0554375,NA
"CA_TWL_ARDEV_y1978_Lbin20",-0.123525,NA
"CA_TWL_ARDEV_y1978_Lbin21",-0.172487,NA
"CA_TWL_ARDEV_y1978_Lbin22",-0.145213,NA
"CA_TWL_ARDEV_y1978_Lbin23",-0.182861,NA
"CA_TWL_ARDEV_y1978_Lbin24",-0.073127,NA
"CA_TWL_ARDEV_y1978_Lbin25",-0.0825065,NA
"CA_TWL_ARDEV_y1978_Lbin26",0.318867,NA
"CA_TWL_ARDEV_y1978_Lbin27",0.362774,NA
"CA_TWL_ARDEV_y1978_Lbin28",-0.130671,NA
"CA_TWL_ARDEV_y1978_Lbin29",-0.109788,NA
"CA_TWL_ARDEV_y1978_Lbin30",-0.0421281,NA
"CA_TWL_ARDEV_y1978_Lbin31",-0.0874981,NA
"CA_TWL_ARDEV_y1978_Lbin32",-0.135573,NA
"CA_TWL_ARDEV_y1978_Lbin33",-0.135913,NA
"CA_TWL_ARDEV_y1978_Lbin34",-0.0395183,NA
"CA_TWL_ARDEV_y1978_Lbin35",-0.025507,NA
"CA_TWL_ARDEV_y1978_Lbin36",0.147622,NA
"CA_TWL_ARDEV_y1978_Lbin37",0.141971,NA
"CA_TWL_ARDEV_y1978_Lbin38",-0.070182,NA
"CA_TWL_ARDEV_y1979_Lbin10",-0.000567457,NA
"CA_TWL_ARDEV_y1979_Lbin11",-0.000721214,NA
"CA_TWL_ARDEV_y1979_Lbin12",-0.00106983,NA
"CA_TWL_ARDEV_y1979_Lbin13",-0.00195932,NA
"CA_TWL_ARDEV_y1979_Lbin14",-0.000839972,NA
"CA_TWL_ARDEV_y1979_Lbin15",-0.00177411,NA
"CA_TWL_ARDEV_y1979_Lbin16",-0.0125593,NA
"CA_TWL_ARDEV_y1979_Lbin17",-0.0219666,NA
"CA_TWL_ARDEV_y1979_Lbin18",-0.0367387,NA
"CA_TWL_ARDEV_y1979_Lbin19",-0.0664387,NA
"CA_TWL_ARDEV_y1979_Lbin20",-0.110824,NA
"CA_TWL_ARDEV_y1979_Lbin21",-0.18108,NA
"CA_TWL_ARDEV_y1979_Lbin22",-0.148655,NA
"CA_TWL_ARDEV_y1979_Lbin23",-0.208323,NA
"CA_TWL_ARDEV_y1979_Lbin24",-0.278835,NA
"CA_TWL_ARDEV_y1979_Lbin25",-0.337518,NA
"CA_TWL_ARDEV_y1979_Lbin26",-0.288798,NA
"CA_TWL_ARDEV_y1979_Lbin27",-0.303035,NA
"CA_TWL_ARDEV_y1979_Lbin28",-0.181472,NA
"CA_TWL_ARDEV_y1979_Lbin29",-0.185176,NA
"CA_TWL_ARDEV_y1979_Lbin30",-0.0864959,NA
"CA_TWL_ARDEV_y1979_Lbin31",-0.169321,NA
"CA_TWL_ARDEV_y1979_Lbin32",-0.0495667,NA
"CA_TWL_ARDEV_y1979_Lbin33",-0.168339,NA
"CA_TWL_ARDEV_y1979_Lbin34",0.143978,NA
"CA_TWL_ARDEV_y1979_Lbin35",0.181099,NA
"CA_TWL_ARDEV_y1979_Lbin36",-0.0685081,NA
"CA_TWL_ARDEV_y1979_Lbin37",-0.0578947,NA
"CA_TWL_ARDEV_y1979_Lbin38",0.753986,NA
"CA_TWL_ARDEV_y1980_Lbin10",-0.00156571,NA
"CA_TWL_ARDEV_y1980_Lbin11",-0.001625,NA
"CA_TWL_ARDEV_y1980_Lbin12",-0.00156234,NA
"CA_TWL_ARDEV_y1980_Lbin13",-0.00182222,NA
